Manchester United,19,9,10,66
Tottenham Hotspur,19,13,6,70
AFC Bournemouth,11,9,18,42
Aston Villa,3,8,27,17
Everton FC,11,14,13,47
Watford FC,12,9,17,45
Leicester City,23,12,3,81
Sunderland AFC,9,12,17,39
Norwich City,9,7,22,34
Crystal Palace,11,9,18,42
Chelsea FC,12,14,12,50
Swansea City,12,11,15,47
Arsenal FC,20,11,7,71
West Ham United,16,14,8,62
Newcastle United,9,10,19,37
Southampton FC,18,9,11,63
Stoke City,14,9,15,51
Liverpool FC,16,11,10,59
West Bromwich Albion,10,12,15,42
Manchester City,19,9,10,66
